Text,Emotion
"You must be knowing #blithe means (adj.)  Happy, cheerful.",joy
Old saying 'A #smile shared is one gained for another day' @YEGlifer @Scott_McKeen,joy
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,joy
@Elaminova sparkling water makes your life sparkly,joy
I'm tired of everybody telling me to chill out and everythings ok. no the fuck its not. I'm tired of faking a a fucking smile,joy
#GBBO can cheer me up ☺️,joy
"&amp; as much as I hate for a dude to cheat, women forego pleasing their man, they get lazy &amp; men get lazy &amp; then it's just pointless",joy
@GOT7Official @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7  #birthday,joy
@GOT7Official @jrjyp happy birthday jin young!!!!!! #PrinceJinyoungDay  #happyjinyoungday #got7 #happy #birthday,joy
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n #optimism #inspire,joy
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire,joy
"Watching football matches without commentary is something that I rejoice, found a transmission of City’s match like that today, joyful.",joy
#twd comes on soon #happy,joy
#twd comes on soon ,joy
@TauDeltaPhiDK THANK YOU FOR MY OBAMA CUT OUT!!!!!! I am elated that he's back home😍,joy
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'",joy
Gemma Simmons is the bright spot of the premiere so far. #AgentsofSHIELD,joy
This is a beautiful day that the Lord has made. I will rejoice and be glad!!!,joy
Watch this amazing live.ly broadcast by @kelli.peterson #lively #musically.   Come WATCH,joy
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",joy
Oi @THEWIGGYMESS you've absolutely fucking killed me.. 30 mins later im still crying with laughter.. Grindah.. Grindah... 🤓  hahahahahahaha,joy
So happy I live in NYC! See you tomorrow .....@SamHeughan @Barbour,joy
"Accept the challenges, so that you may feel the exhilaration of victory.",joy
For what a beautiful day. #elated,joy
For what a beautiful day. ,joy
Bring on my interview at hospital tho 🙈🙈 #nervous,fear
Bring on my interview at hospital tho 🙈🙈 ,fear
@therealkers awe I miss your sweet smile! Come visit me and @ciara_wilson26 sometime when we're not all working😅😩,fear
Back on my #bully,fear
Back on my ,fear
I'm so bored and fat and full and ridiculously overweight and rolls galore #terrible,fear
I'm so bored and fat and full and ridiculously overweight and rolls galore ,fear
Val downing a bottle of vodka there to stop her from shaking! #GBBO,fear
"@PrinceJumbo You're welcome and thank to you likewise! What are you hoping to learn, like your no 1 concern?",fear
"@erickogi @citizentvkenya @OfficialJMbugua but at what price. The near misses are too many, am afraid it may translate into something else",fear
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,fear
@slashersocial #horror H3LL I SURE DID!!! LOL\nHappy about this decision. :),fear
"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! #nightmare",fear
"Hey @PapaJohnsUK I've been charged £40.24 on my credit card 4 an order which never arrived last Friday, any chance of a refund!! ",fear
I'm such a shy person oh my lord,fear
Hope I sleep - no nightmare of Bakewell tarts #yuk #revolting #GBBO,fear
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,fear
Can't even believe just seeing you set my anxiety off 🖕,fear
"Ya tremble like Mr. Cooper, yo we hanging",fear
"@eliroth ya know I love ya man, but #TheGreenInferno really fucked with my head....(giggle)..do it again. #epic  #ineedtherapy",fear
@MarissaYerton wanna shake my tree??? 🍑🍑🍑🍑,fear
Throwback to when Khloe Kardashian was a host on The X Factor and she was fucking terrible at it,fear
two major banking stocks down almost 15 to 20 % from their highs while benchmarks still close to top it is a sure #worry for markets,fear
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,fear
@Cassena13 I know if I wasn't an optimist I would despair.,fear
Most people never achieve their goals because they are afraid to fail.,fear
Just had my interview for the medical internship and I am beyond nervous😩 I was shaking so bad it was unreal😳,fear
@jk_rowling @Riverfeather207 Donald Trump in the White House #shudder,fear
@jk_rowling @Riverfeather207 Donald Trump in the White House ,fear
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't #awful",fear
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",fear
I'm just always too shy,fear
Need good vibes for my doctors appointment tomorrow! #nervous,fear
Need good vibes for my doctors appointment tomorrow! ,fear
I'm just tryna watch horror movies and nap all day,fear
@inthefade going back to blissful ignorance?! #fury,anger
@inthefade going back to blissful ignorance?! ,anger
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
ethan was with someone in the car when he did his revenge on grayson,anger
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
@zavierdaniels had to snap going crazy 😭😭,anger
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger
@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger
@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge 😂,anger
@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.,anger
Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger
JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless,anger
White people irritate me.,anger
"Y'all bitches be so angry and bitter, that must truly suck lol",anger
@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers,anger
We're going to get City in the next round for a revenge.,anger
Me: *sees incense burner* is this for drugs?,anger
"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism,anger
@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger
So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.,anger
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.",anger
When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife,anger
@o2academybham since when the fuck can you not stand at a concert? #raging,anger
@o2academybham since when the fuck can you not stand at a concert? ,anger
My irritation level is at an all time high today 🙃,anger
Can it be 10 PM so I can sulk in my tub while listening to Lana,sadness
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,sadness
Candice's pout is gonna take someone eye out mate! #GBBO,sadness
The pine colada starburst nasty. Don't @ me,sadness
How's the new #BatmanTelltaleSeries? Looks good but I'm growing weary of this #gaming style... #Batman,sadness
@bolain_branden @GrimsToyShow grim should find broken Matt hardy because he can delete everything lol,sadness
"@SentinalsMom *Baal dashed forward, boosted forward by her power of flight. Her sword pointed at Void, meant to stop just short of her--",sadness
i am about to find the sadness in graham's lyrics,sadness
I told my therapist that I'm on the dance team and now she's unhappy with me.,sadness
@mar_de_palabras But I do think we need to experience a bit madness &amp; despair too. This is the stuff that makes us human.,sadness
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness
are you feeling horribly depressed and despondent about life and your future' - @lauraroyden always knows just what to say,sadness
"@space_gayz high fantasy , i feel like you could make a melancholy college age slice of life thing work too",sadness
Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial,sadness
At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,sadness
@TheBenNatan szn 3 &gt;&gt;&gt; szn 1 &gt;&gt;&gt; szn 2. Just to warn you. Don't let szn 2 discourage you.,sadness
"@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait",sadness
Go help the cause.@plantingaseed.net. #recovery  #sober #addiction,sadness
@MariamVeiszadeh it's getting so close in your poll so many ignorant ppl. #depressing #painful something needs to change #BeTheChange ? How?,sadness
@TicciKasie1 //this is sadly what my history teacher talked about why the fuck do I remember that?!,sadness
"Defining yourself in terms of opposition, i.e. the clouded mirror phenomena, is almost always a mistake.",sadness
It serves a gloomy higher than the wolves of the village,sadness
"Finally watched #hungergamesmockingjay2 this morning, sadly I feel a little disappointed #toomuchhype",sadness
@TheCatCampbell I too am Ravenclaw. #sadness #shouldhavebeenhufflepuff,sadness
Now I'm going to sulk again for a week until #OurGirl is back on! @michkeegan and @benaldridge07 are the best! @OurGirlWatch,sadness
@BokuNoGio AND his momma was worse than Tony sopranos momma #wow #sad #history #major,sadness
@BokuNoGio AND his momma was worse than Tony sopranos momma #wow  #history #major,sadness
@TrueRyuga I tore my MLC playing football in HS. Knees are serious business. Take care of them! Lemme know if you need anything.,sadness
@MlaStandard The depth that you've sunk to. You're readership deserves more.,sadness
when season 13 of greys anatomy premieres today. it you're only on season 7 #sadness :(,sadness
@thixotropic No. Was so sudden. Hasn't sunk in yet. With Leo I knew it was coming.,sadness
"Long day, kind tweets, our melancholy, @DownFrontArtist defeats.",sadness
Dream show how cisco 642-188 pdf melancholy: aHid,sadness
Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues,sadness
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),sadness
@Magrove86Mark @clareftballnews jersey gloves?  #dark,sadness
Been a while since I been sober. This life can be so hard,sadness
Just reached 10k followers - WOW - thanks blues #mcfc #ctid,sadness
"When mine pass, I know I'll be inconsolable &amp; devastated. For a while.",sadness
I'm throwing myself straight into American Horror Story so I don't have time to grieve,sadness
*Sigh* #depression #saddness #afterellen #shitsucks,sadness
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,sadness
eun: im really unhappy with this and i dont like her like that pls dont\n\nyall: okay but SHE loves HIM,sadness
@yesnicksearcy @counterparty Although I don't expect a trumpie to understand the difference between real things and pretend things. #sad,sadness
@yesnicksearcy @counterparty Although I don't expect a trumpie to understand the difference between real things and pretend things. ,sadness
"You can tell the camp isn't happy purely through Bojan and Muni.\n\nBoth normally fab guys, yet completely dejected. Something isn't right..",sadness
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",sadness
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety  #pain",sadness
No sober weekend 🙂🙂🙂,sadness
One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened,sadness
"@JessiMcCree Gabriel would eventually start frowning, gaining conciousness. Which was apparently really painful by how tears formed in the--",sadness
"No pessimist ever discovered the secret of the stars,or sailed to an uncharted land,or opened a new doorway for the human spirit.-H.Keller",sadness
for an lgbt person to tell someone else that how they identify isn't valid is so sad and against everything we should stand for,sadness
"What we think, we become. -Buddha #recovery #addiction #sober #sobriety",sadness
So drunk me hid my keys very well sober me couldn't find it anywhere,sadness
@Mets @JdeGrom19 I'm depress now,sadness
Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅,fear
And it pisses me off more they killed people who surrendered. Hands up and all. If hands visible you shouldn't be fearing for your life,fear
Andrew's hands start shaking and he says 'I hope I die.. like right now',fear
I dread this drive every Wednesday 😩,fear
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @BanKimoon_amdg",fear
Maybe @SamHeughan can send me good luck on my job interview tomorrow. #nervous 😳,fear
@alivitali that's what I'm afraid of!,fear
So not pumped for this interview #nervous,fear
An @amityaffliction kind of drive home from work today #nightmare #dailyfeels,fear
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows. #fear #fashion,fear
"When you wake up, scroll through social media, and another father was taken from his child #nightmare #everyday #KeithLamontScott",fear
hi my names anxiety and i have shaun,fear
Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started,fear
@YahooCare data stolen in 2014 and only now do you tell us .,fear
I dread math 😴,fear
@SusannahSpot I could pop round #nightmare,fear
@excalibater I'm very shy irl and lately I feel like everyone's doing their own thing and I don't fit in anywhere and I feel lonely :(,fear
How do you ever stop being #afraid of someone that you live with,fear
@DSWT I despair at this madness! It's beyond #shocking it's cold blooded murder!  How long will #SouthAfrica stand by &amp;watch #WorldRhinoDay,fear
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear
So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking 😭😭😭😭😭,fear
Just had to reverse half way up the woods to collect the dog n I've never even reverse parked in my life 🙄 #nightmare,fear
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape,fear
Well this is flipping great! Flipping standstill on the freeway! #anxiety #stepofftheledge #youvegottobekiddingme,fear
When you arrive at the office the day before your first ever festival and the Internet is down #panic,fear
@WunderlistHelp are you guys still down? When can we go up? #panic,fear
The focal points of war lie in #terrorism and the #UN needs to address #violentextremism,fear
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,fear
Put my passport in a safe back after getting back from Australia 🌏. Only problem is now I can't remember where the safe is!! #panic 🛂,fear
"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous 😶",fear
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare,fear
What the fuck is he even doing ? He should be off that's fucking horrific !,fear
@AldiToHarrods I'm still too nervous to try it. I need to man up and give it ago.,fear
I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross,anger
"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger
"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.",anger
not to be That Person™ but i get bitter seeing some ravi stans,anger
"@Darren_Hammer amen, nothing personal mate, just tired of all of the complaining from our fans, it's Been a relentless tirade of misery",anger
Michelle is one of the worst players in bb history #bb18 #bbfinale ,anger
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,anger
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger
"I am #real #sjw, I will not let #america down\nI have found us, now go and get us\nI let it out and I let it in\nI #rage I #lol\n@SergioSarzedo",anger
Connivers blind to existential fury,anger
guys irritate me,anger
#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily #rage,anger
@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall,anger
Need a new outlet for #rage,anger
@swagalini ive been through the denial and anger i am in pure acceptance,anger
"@SapientSoldier timid but determined version of the rabid beasts beyond the land. Growling beneath my restrained breath, I //rip// myself --",anger
I'm not used to pretty girls that use curse words to express their anger. I just feel like I'm a little bit surprised and turned off as well,anger
@TzumiXIV huff puff,anger
Hell hath not fury like a hamstring cramp. #ouch,anger
"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄",anger
@fireemblemlord it's the first expac since wrath that feels like a proper 'evolution' of the game for me,anger
@Thebeast_ufc what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔,anger
@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,anger
when you find out the initiative isn't even a thing 😧 #revenge,anger
@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY,anger
"I'll happily be rude to people who personally insult me unprovoked, they deserve it 👍 Just as good people deserve respect",anger
That AK47 leave your spine with a frown,anger
come on let's make em hate 😘make em pout they face 👿😩.,anger
Recommended reading: Prisoners of Hate by Aaron Beck #anger,anger
@Alanafergusson snap meee,anger
@KimLy resent,anger
Forever angry that gh ruined Molly and morgan's bond/friendship ,anger
#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger
@TillTheEndMMVI I accidetly dumped boiling water my myself 😫,anger
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. ",anger
As usual disappointing #offense by @HoustonTexans ...#Texans,anger
"@mdivincenzo9 he's stupid, I hate him lol ",anger
@PuseLepuru it's the irritation of not having found the corpse,anger
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger
@girlsreallyrule Both Trump + King are relentless self-promoters who don't give a rip about anyone else. A perfect match for both Donalds.,anger
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,anger
whenever I put 'I wanna be adored' on my brother alwayss sings 'I wanna be a dog' instead just to irritate me,anger
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
I don't get what point is made when reporting on Charlotte looting @CNNAshleigh. Why not explore what looting businesses symbolizes #outrage,anger
@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.,anger
@laura221b I've left it for my dad to deal with 😂 My work is done as soon as it's felt the wrath of my slipper 😷,anger
"Leave it on there, rule,nimber 1 of carpet cleaning!!!  #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger
@m_warner21 Yikes. The wrath of Maddie...,anger
"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent pursuits.",sadness
Some Erykah Badu to sedate me 💕,sadness
"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",sadness
Don't get discouraged when simple minds don't see your vision,sadness
#ThankYouCGI - Do not grow weary in doing good. #CGI2016,sadness
@jodikantor @nytimes only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind,sadness
I'm too sober time to get shit faced,sadness
I don't want perfect. It's too boring and dull.,sadness
@LacesUntied_ yea lol catchy you fret,sadness
@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,sadness
"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",sadness
"Pops are joyless, soulless toys which look nearly identical.  They are the perfect expression of consumerism.  'I enjoy this franchise'",sadness
"@DinoHyogi Hakyeon takes all the attention happily, perching on Wonshik's shoulder to sulk when Jaehwan accidentally caused a tiny explosion",sadness
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,sadness
there are #serious #chinks in #India’s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,sadness
"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. ",sadness
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,sadness
@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley,sadness
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",sadness
@patthemanager how could I work with @chancetherapper . ? #serious,sadness
@marielleblaine8 @princesskeilani I told pine I didn't want it so I didn't have to have it,sadness
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,sadness
Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,sadness
So @JeffProbst those of us born in 85 have no generation! Where is the gen-less tribe! Ha! #survivor #lost soles,sadness
@MarianKeyes maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,sadness
Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable. - Sydney J. Harris,sadness
Learning how to use twitter #lost,sadness
